ANIO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_ENTAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2022|7|F|MANABI|24 DE MAYO|0,0000|3770,7700|0,0000|19373,1400|1500,9500|0,0000|0,0000|20874,0900|12752,2900
2022|4|G|EL ORO|MACHALA|8035,7100|56117438,9900|46048636,6600|43356840,4500|88327884,3800|6615674,8600|687629,1100|139017154,4900|149842810,3000
2022|5|M|SUCUMBIOS|CUYABENO|0,0000|25252,5300|0,0000|82473,3700|10844,3000|0,0000|4905,4300|98223,1000|236474,8900
2022|2|H|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|3137,9600|15205,2900|0,0000|43363,1200|749,5300|0,0000|0,0000|44112,6500|19034,7500
2022|7|G|GUAYAS|GUAYAQUIL|1158586,6700|567177187,8400|250773260,4000|937841045,7300|586696877,4500|460497676,6000|3761271,8800|1996210696,9500|2244187196,9900
2022|6|I|TUNGURAHUA|TISALEO|0,0000|13611,7900|0,0000|14064,5100|10440,3100|0,0000|0,0000|24504,8200|26557,3400
2022|6|Q|ESMERALDAS|ELOY ALFARO|0,0000|80646,9700|0,0000|86685,9500|152493,1900|0,0000|0,0000|239179,1400|80664,0000
2022|6|C|COTOPAXI|SIGCHOS|0,0000|253088,6200|0,0000|39510,1600|91203,1500|0,0000|0,0000|130713,3100|273555,4800
2022|1|F|TUNGURAHUA|AMBATO|2012122,9900|1077569,5900|0,0000|3864797,5000|349100,3200|701821,8300|91101,6200|5006821,2700|3235080,7600
2022|4|O|CARCHI|SAN PEDRO DE HUACA|0,0000|19383,6400|0,0000|35152,1300|2872,0600|0,0000|1110,0000|39134,1900|19383,6400
2022|3|S|PICHINCHA|QUITO|38475662,2200|21769508,7300|1066728,1300|27058762,1900|9179174,8400|7357957,1600|518568,6500|45921658,2900|66479432,3700
